Account;OrderId;Sequence;Status;Currency;Value;Value STR;CreationDate;ApprovedDate;IsInStore;IsB2B;IsCallCenter;IsCertifiedMarketplace;IsCertifiedSeller;IsB2C;ExternalMarketplaceName;InternalMarketplaceAccount;MarketplaceOrderId;InternalCertifiedSellerAccount;SellerOrderId;Type
bathbodyco;1101432672483-01;509854;handling;COP;127120;127120;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102370466805-01;511194;handling;COP;93800;93800;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101433031831-01;509858;handling;COP;146280;146280;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102382375759-01;511208;handling;COP;316910;316910;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102371662399-01;511200;handling;COP;85600;85600;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101431306938-01;509876;handling;COP;128680;128680;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101450207497-01;509904;handling;COP;255980;255980;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102383255092-01;511222;handling;COP;49400;49400;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1100970673064-01;509016;invoice;COP;166060;166060;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102383549851-01;511226;handling;COP;139060;139060;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101401787394-01;509806;handling;COP;50900;50900;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102181171625-01;511002;handling;COP;107480;107480;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101413142459-01;509814;handling;COP;109220;109220;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102192306680-01;511016;handling;COP;398980;398980;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101413481352-01;509818;handling;COP;221640;221640;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102180268337-01;510998;handling;COP;313140;313140;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1100981910256-01;509034;invoice;COP;62140;62140;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1100971383523-01;509026;invoice;COP;59480;59480;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101391203789-01;509784;handling;COP;57740;57740;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101422410292-01;509828;handling;COP;94000;94000;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101410702209-01;509820;handling;COP;214960;214960;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101450062149-01;509902;handling;COP;771020;771020;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101450491610-01;509908;handling;COP;173800;173800;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102192755821-01;511020;handling;COP;207260;207260;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101462618756-01;509926;handling;COP;189180;189180;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101490032328-01;509968;handling;COP;59860;59860;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101491810375-01;509966;handling;COP;67480;67480;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1100931262352-01;508954;handling;COP;115480;115480;2021-01-04;2021-01-04;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1100163207279-01;508736;invoice;COP;104800;104800;2021-01-01;2021-01-01;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102191130308-01;511026;handling;COP;219700;219700;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102201852011-01;511030;handling;COP;130500;130500;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1100370576607-01;508776;invoice;COP;94800;94800;2021-01-02;2021-01-02;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102182980819-01;510990;handling;COP;111960;111960;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1100411801345-01;508792;invoice;COP;159800;159800;2021-01-02;2021-01-02;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102182826055-01;510986;handling;COP;154420;154420;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1100402749879-01;508786;invoice;COP;355600;355600;2021-01-02;2021-01-02;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1100381404094-01;508778;invoice;COP;96200;96200;2021-01-02;2021-01-02;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102183020675-01;510992;handling;COP;262480;262480;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102191979631-01;511010;handling;COP;88580;88580;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1100413113358-01;508794;invoice;COP;51900;51900;2021-01-02;2021-01-02;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102172694129-01;510952;handling;COP;111960;111960;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1100972432962-01;508996;handling;COP;75880;75880;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1100992247061-01;509104;handling;COP;219952;219952;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102173083095-01;510954;handling;COP;267700;267700;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1100992457445-01;509112;handling;COP;111664;111664;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102172296577-01;510950;handling;COP;93800;93800;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102170451285-01;510960;handling;COP;446700;446700;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1100992490516-01;509114;handling;COP;147500;147500;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1100992089360-01;509094;handling;COP;137916;137916;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102152917938-01;510904;handling;COP;143480;143480;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102151307901-01;510926;handling;COP;137700;137700;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1100992801824-01;509118;handling;COP;187440;187440;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1100992831740-01;509120;handling;COP;216400;216400;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102171495216-01;510970;handling;COP;137700;137700;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102161761269-01;510944;handling;COP;45500;45500;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1100992849600-01;509122;handling;COP;141616;141616;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101001070475-01;509272;handling;COP;275154;275154;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102182173376-01;510978;handling;COP;59480;59480;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101013003491-01;509294;handling;COP;168144;168144;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102223440973-01;511054;handling;COP;218260;218260;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101013529096-01;509310;handling;COP;153462;153462;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101010054641-01;509312;handling;COP;149981;149981;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101000537052-01;509268;handling;COP;114364;114364;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101001762270-01;509280;handling;COP;190020;190020;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101090103949-01;509406;handling;COP;114992;114992;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101093070816-01;509398;handling;COP;132468;132468;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101091774480-01;509418;handling;COP;395400;395400;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101090343507-01;509408;handling;COP;107420;107420;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101071737512-01;509378;handling;COP;683400;683400;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101091522405-01;509414;handling;COP;189948;189948;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101091128627-01;509412;handling;COP;115320;115320;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101101883224-01;509420;handling;COP;109728;109728;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101323462264-01;509676;handling;COP;137700;137700;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101371493504-01;509760;handling;COP;117680;117680;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101341610049-01;509706;handling;COP;130640;130640;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101342235170-01;509696;handling;COP;279340;279340;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101571303517-01;510000;handling;COP;120850;120850;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102332800519-01;511132;handling;COP;126500;126500;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101581375789-01;510016;handling;COP;284620;284620;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102351839808-01;511164;handling;COP;115480;115480;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101590514513-01;510024;handling;COP;85220;85220;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102362280480-01;511172;handling;COP;129060;129060;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101593053518-01;510018;handling;COP;289440;289440;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102362577937-01;511174;handling;COP;282940;282940;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101420589095-01;509836;handling;COP;273860;273860;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102351510562-01;511170;handling;COP;900660;900660;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101411192375-01;509822;handling;COP;59480;59480;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102341553599-01;511160;handling;COP;158220;158220;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101422439122-01;509830;handling;COP;635680;635680;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101442748263-01;509884;handling;COP;121960;121960;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102342599942-01;511148;handling;COP;163440;163440;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101442045222-01;509882;handling;COP;215920;215920;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102341925255-01;511142;handling;COP;190840;190840;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102341341017-01;511156;handling;COP;93480;93480;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101441576856-01;509894;handling;COP;244900;244900;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102342039839-01;511144;handling;COP;116980;116980;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101482295945-01;509956;handling;COP;258360;258360;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101481350798-01;509964;handling;COP;55240;55240;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101601896470-01;510026;handling;COP;274660;274660;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101600117778-01;510032;handling;COP;182630;182630;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1101610155315-01;510052;handling;COP;203180;203180;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102830927774-01;511766;handling;COP;297400;297400;2021-01-12;2021-01-12;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102342889037-01;511150;handling;COP;85220;85220;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102890030130-01;511872;handling;COP;95300;95300;2021-01-13;2021-01-13;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102893115597-01;511864;handling;COP;189020;189020;2021-01-13;2021-01-13;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102893422083-01;511868;handling;COP;293850;293850;2021-01-13;2021-01-13;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102911643798-01;511900;handling;COP;250680;250680;2021-01-13;2021-01-13;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102941485353-01;511922;handling;COP;206720;206720;2021-01-13;2021-01-13;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102811176729-01;511728;handling;COP;85220;85220;2021-01-12;2021-01-12;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102821130150-01;511754;handling;COP;138050;138050;2021-01-12;2021-01-12;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102823072840-01;511740;handling;COP;256020;256020;2021-01-12;2021-01-12;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102402152742-01;511258;handling;COP;44000;44000;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102820881972-01;511752;handling;COP;256700;256700;2021-01-12;2021-01-12;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102381304933-01;511236;handling;COP;176880;176880;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1103023199682-01;511948;handling;COP;129120;129120;2021-01-13;2021-01-13;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102380386065-01;511230;handling;COP;81620;81620;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102392744465-01;511240;handling;COP;465700;465700;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102863452799-01;511804;handling;COP;183480;183480;2021-01-12;2021-01-12;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102853345162-01;511798;handling;COP;179580;179580;2021-01-12;2021-01-12;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102391300222-01;511242;handling;COP;212620;212620;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102830586396-01;511764;handling;COP;95600;95600;2021-01-12;2021-01-12;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102400162311-01;511268;handling;COP;91940;91940;2021-01-11;2021-01-11;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102312947965-01;511098;handling;COP;59480;59480;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102803591791-01;511702;handling;COP;111960;111960;2021-01-12;2021-01-12;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102851215734-01;511800;handling;COP;30140;30140;2021-01-12;2021-01-12;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102331923905-01;511128;handling;COP;229360;229360;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102840249939-01;511784;handling;COP;136370;136370;2021-01-12;2021-01-12;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1102321222494-01;511124;handling;COP;136020;136020;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
