Account;OrderId;Sequence;Status;Currency;Value;Value STR;CreationDate;ApprovedDate;IsInStore;IsB2B;IsCallCenter;IsCertifiedMarketplace;IsCertifiedSeller;IsB2C;ExternalMarketplaceName;InternalMarketplaceAccount;MarketplaceOrderId;InternalCertifiedSellerAccount;SellerOrderId;Type
bathbodygt;1104052761085-01;522720;invoiced;GTQ;449.6;449,6;2021-01-17;2021-01-17;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1100990007532-01;521420;invoiced;GTQ;262.72;262,72;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1104072034637-01;522734;invoiced;GTQ;628.9;628,9;2021-01-17;2021-01-17;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1100960969326-01;521360;invoiced;GTQ;465.23;465,23;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1100990623430-01;521428;invoiced;GTQ;233;233;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1100990252293-01;521424;invoiced;GTQ;169.6;169,6;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1100982633970-01;521386;invoiced;GTQ;319.48;319,48;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1104072729682-01;522736;invoiced;GTQ;220;220;2021-01-17;2021-01-17;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1100970442344-01;521370;invoiced;GTQ;300.68;300,68;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1100983543703-01;521392;invoiced;GTQ;1295.96;1295,96;2021-01-05;2021-01-05;False;True;False;False;False;False;;;;;;B2B / Other Channels
bathbodygt;1100992278597-01;521402;invoiced;GTQ;257.32;257,32;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1100993014293-01;521414;invoiced;GTQ;560.06;560,06;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1100991899488-01;521398;invoiced;GTQ;412;412;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1100992466037-01;521404;invoiced;GTQ;218.05;218,05;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101023352103-01;521510;invoiced;GTQ;140.6;140,6;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101023168144-01;521508;invoiced;GTQ;309.16;309,16;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1104081547235-01;522746;invoiced;GTQ;2717.2;2717,2;2021-01-18;2021-01-18;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101022294663-01;521500;invoiced;GTQ;127.6;127,6;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101022910673-01;521504;invoiced;GTQ;819.68;819,68;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1100971867630-01;521366;invoiced;GTQ;308.21;308,21;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1104080993718-01;522744;invoiced;GTQ;204;204;2021-01-18;2021-01-18;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1100990837882-01;521430;invoiced;GTQ;454.64;454,64;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101000585260-01;521454;invoiced;GTQ;683.2;683,2;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101003573238-01;521448;invoiced;GTQ;190;190;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1103842817465-01;522670;invoiced;GTQ;567.8;567,8;2021-01-16;2021-01-16;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101003281974-01;521444;invoiced;GTQ;376;376;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101001120201-01;521460;invoiced;GTQ;380.32;380,32;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101001384074-01;521462;invoiced;GTQ;71.4;71,4;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101012900043-01;521474;invoiced;GTQ;365.56;365,56;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101002674173-01;521436;invoiced;GTQ;989.06;989,06;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101000258604-01;521450;invoiced;GTQ;486.92;486,92;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101002821428-01;521438;invoiced;GTQ;279.52;279,52;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101002986042-01;521442;invoiced;GTQ;382.24;382,24;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101000563258-01;521452;invoiced;GTQ;426.76;426,76;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1103861258659-01;522676;invoiced;GTQ;436;436;2021-01-17;2021-01-17;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101022229768-01;521498;invoiced;GTQ;325.72;325,72;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1104221782633-01;522770;invoiced;GTQ;86;86;2021-01-18;2021-01-18;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101602972092-01;521844;invoiced;GTQ;138;138;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1104232596568-01;522772;invoiced;GTQ;150;150;2021-01-18;2021-01-18;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101600589724-01;521846;invoiced;GTQ;247.8;247,8;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1104221409498-01;522768;invoiced;GTQ;295.6;295,6;2021-01-18;2021-01-18;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101622139585-01;521870;invoiced;GTQ;381.4;381,4;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1104113526078-01;522756;invoiced;GTQ;591.2;591,2;2021-01-18;2021-01-18;False;True;False;False;False;False;;;;;;B2B / Other Channels
bathbodygt;1101620300520-01;521878;invoiced;GTQ;243.2;243,2;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1104010217058-01;522698;invoiced;GTQ;1167.6;1167,6;2021-01-17;2021-01-17;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101621288453-01;521884;invoiced;GTQ;256.9;256,9;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1104012561677-01;522694;invoiced;GTQ;242.2;242,2;2021-01-17;2021-01-17;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101623519775-01;521874;invoiced;GTQ;456.4;456,4;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1104022505856-01;522702;invoiced;GTQ;217.8;217,8;2021-01-17;2021-01-17;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101851082025-01;521998;invoiced;GTQ;705;705;2021-01-08;2021-01-08;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1104010607229-01;522700;invoiced;GTQ;586;586;2021-01-17;2021-01-17;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1102140238086-01;522122;invoiced;GTQ;816;816;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1104033546318-01;522708;invoiced;GTQ;262;262;2021-01-17;2021-01-17;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1102142906449-01;522120;invoiced;GTQ;466;466;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106440419227-01;523926;invoiced;GTQ;310;310;2021-01-27;2021-01-27;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1102131665531-01;522118;invoiced;GTQ;794.5;794,5;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106451831638-01;523930;invoiced;GTQ;175.6;175,6;2021-01-27;2021-01-27;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106481748135-01;523972;invoiced;GTQ;295.8;295,8;2021-01-28;2021-01-28;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1102140239865-01;522124;invoiced;GTQ;247.6;247,6;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1102131624128-01;522116;invoiced;GTQ;679.6;679,6;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106491477374-01;523978;invoiced;GTQ;640.3;640,3;2021-01-28;2021-01-28;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1102131540473-01;522114;invoiced;GTQ;224;224;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106501878343-01;523980;invoiced;GTQ;256;256;2021-01-28;2021-01-28;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1102133122429-01;522110;invoiced;GTQ;208;208;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106691028513-01;524080;handling;GTQ;1625.4;1625,4;2021-01-28;2021-01-28;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1102132232444-01;522108;invoiced;GTQ;424;424;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106660822280-01;524052;invoiced;GTQ;709.5;709,5;2021-01-28;2021-01-28;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1105753487263-01;523556;invoiced;GTQ;156;156;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1102130161059-01;522112;invoiced;GTQ;685;685;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1105762315708-01;523564;invoiced;GTQ;383;383;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101852126157-01;521972;invoiced;GTQ;302.6;302,6;2021-01-08;2021-01-08;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1105800732293-01;523584;invoiced;GTQ;647;647;2021-01-25;2021-01-25;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1102060032484-01;522090;invoiced;GTQ;106;106;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1105812379644-01;523586;invoiced;GTQ;312;312;2021-01-25;2021-01-25;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1102091666301-01;522100;invoiced;GTQ;271.6;271,6;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1102090965633-01;522098;invoiced;GTQ;368.2;368,2;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1105430821957-01;523420;invoiced;GTQ;148.5;148,5;2021-01-23;2021-01-23;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1102120943489-01;522106;invoiced;GTQ;206.2;206,2;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1102170335083-01;522136;invoiced;GTQ;732.8;732,8;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1102150402215-01;522130;invoiced;GTQ;424;424;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1105511994823-01;523476;invoiced;GTQ;1460;1460;2021-01-23;2021-01-23;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1102171151958-01;522138;invoiced;GTQ;179;179;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1102160663219-01;522134;invoiced;GTQ;269;269;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1102211475634-01;522154;invoiced;GTQ;401.8;401,8;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1102582419668-01;522274;invoiced;GTQ;595;595;2021-01-11;2021-01-11;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1102591216185-01;522278;invoiced;GTQ;119;119;2021-01-11;2021-01-11;False;False;False;False;False;True;;;;;;B2C
