Account;OrderId;Sequence;Status;Currency;Value;Value STR;CreationDate;ApprovedDate;IsInStore;IsB2B;IsCallCenter;IsCertifiedMarketplace;IsCertifiedSeller;IsB2C;ExternalMarketplaceName;InternalMarketplaceAccount;MarketplaceOrderId;InternalCertifiedSellerAccount;SellerOrderId;Type
bathbody;1101211589682-01;543531;invoiced;USD;224.96;224,96;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbody;1101222991681-01;543535;invoiced;USD;43.16;43,16;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbody;1101222645114-01;543533;invoiced;USD;66.7;66,7;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbody;1101223108867-01;543537;invoiced;USD;39.31;39,31;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbody;1101220185539-01;543545;invoiced;USD;158.3;158,3;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbody;1101220011204-01;543543;invoiced;USD;48.73;48,73;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbody;1101221653112-01;543553;invoiced;USD;36.74;36,74;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbody;1101220857559-01;543551;invoiced;USD;64.67;64,67;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbody;1101161319656-01;543419;invoiced;USD;91.53;91,53;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbody;1101212181285-01;543513;invoiced;USD;46.49;46,49;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbody;1101193160800-01;543469;invoiced;USD;58.04;58,04;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbody;1101341113764-01;543603;invoiced;USD;21.34;21,34;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbody;1101350278201-01;543613;invoiced;USD;37.06;37,06;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbody;1101340507699-01;543601;invoiced;USD;25.19;25,19;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbody;1101342302031-01;543599;invoiced;USD;27.22;27,22;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbody;1101350674087-01;543617;invoiced;USD;50.81;50,81;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbody;1101151669936-01;543395;invoiced;USD;20.05;20,05;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbody;1101161714050-01;543427;invoiced;USD;27.11;27,11;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbody;1101171273675-01;543441;invoiced;USD;70.66;70,66;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbody;1101171523486-01;543443;invoiced;USD;129.62;129,62;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbody;1101163403189-01;543403;invoiced;USD;99.88;99,88;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbody;1101163316238-01;543401;invoiced;USD;31.61;31,61;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbody;1101160508898-01;543407;invoiced;USD;121.28;121,28;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbody;1101160694666-01;543409;invoiced;USD;43.33;43,33;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbody;1101161463649-01;543423;invoiced;USD;55.1;55,1;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbody;1101160742709-01;543411;invoiced;USD;97.2;97,2;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbody;1101161775890-01;543429;invoiced;USD;144.07;144,07;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbody;1101170650972-01;543433;invoiced;USD;50.55;50,55;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbody;1101171148328-01;543437;invoiced;USD;77.55;77,55;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbody;1101170774570-01;543435;invoiced;USD;58.99;58,99;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbody;1101190033143-01;543473;invoiced;USD;105.55;105,55;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbody;1100630781214-01;543102;invoiced;USD;70.38;70,38;2021-01-03;2021-01-03;False;False;False;False;False;True;;;;;;B2C
bathbody;1100721603520-01;543151;invoiced;USD;40.38;40,38;2021-01-04;2021-01-04;False;False;False;False;False;True;;;;;;B2C
bathbody;1101192567488-01;543465;invoiced;USD;52.91;52,91;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbody;1102060396407-01;544103;invoiced;USD;33.21;33,21;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
bathbody;1102072258474-01;544107;invoiced;USD;57.72;57,72;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
bathbody;1102572753777-01;544427;invoiced;USD;107.68;107,68;2021-01-11;2021-01-11;False;False;False;False;False;True;;;;;;B2C
bathbody;1102561868382-01;544425;invoiced;USD;61.57;61,57;2021-01-11;2021-01-11;False;False;False;False;False;True;;;;;;B2C
bathbody;1102553208379-01;544419;invoiced;USD;46.91;46,91;2021-01-11;2021-01-11;False;False;False;False;False;True;;;;;;B2C
bathbody;1102082350057-01;544119;invoiced;USD;142.79;142,79;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
bathbody;1102162244931-01;544207;invoiced;USD;73.13;73,13;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
bathbody;1102430643796-01;544391;invoiced;USD;35.19;35,19;2021-01-11;2021-01-11;False;False;False;False;False;True;;;;;;B2C
bathbody;1103393253446-01;544803;invoiced;USD;44.18;44,18;2021-01-15;2021-01-15;False;False;False;False;False;True;;;;;;B2C
bathbody;1103392707177-01;544801;invoiced;USD;25.19;25,19;2021-01-15;2021-01-15;False;False;False;False;False;True;;;;;;B2C
bathbody;1103382943550-01;544797;invoiced;USD;113.72;113,72;2021-01-15;2021-01-15;False;False;False;False;False;True;;;;;;B2C
bathbody;1103391660301-01;544805;invoiced;USD;37.39;37,39;2021-01-15;2021-01-15;False;False;False;False;False;True;;;;;;B2C
bathbody;1103401410039-01;544815;invoiced;USD;47.56;47,56;2021-01-15;2021-01-15;False;False;False;False;False;True;;;;;;B2C
bathbody;1102853579785-01;544565;invoiced;USD;47.88;47,88;2021-01-12;2021-01-12;False;False;False;False;False;True;;;;;;B2C
bathbody;1102850039167-01;544567;invoiced;USD;71.08;71,08;2021-01-12;2021-01-12;False;False;False;False;False;True;;;;;;B2C
bathbody;1102862250468-01;544569;invoiced;USD;52.75;52,75;2021-01-12;2021-01-12;False;False;False;False;False;True;;;;;;B2C
bathbody;1102891221886-01;544603;invoiced;USD;105.65;105,65;2021-01-13;2021-01-13;False;False;False;False;False;True;;;;;;B2C
bathbody;1102892860498-01;544601;invoiced;USD;16.19;16,19;2021-01-13;2021-01-13;False;False;False;False;False;True;;;;;;B2C
bathbody;1102902129982-01;544605;invoiced;USD;45.09;45,09;2021-01-13;2021-01-13;False;False;False;False;False;True;;;;;;B2C
bathbody;1103521626448-01;544833;invoiced;USD;73.77;73,77;2021-01-15;2021-01-15;False;False;False;False;False;True;;;;;;B2C
bathbody;1103523421927-01;544827;invoiced;USD;12.35;12,35;2021-01-15;2021-01-15;False;False;False;False;False;True;;;;;;B2C
bathbody;1103523363709-01;544825;invoiced;USD;43.92;43,92;2021-01-15;2021-01-15;False;False;False;False;False;True;;;;;;B2C
bathbody;1103272737888-01;544741;invoiced;USD;27.76;27,76;2021-01-14;2021-01-14;False;False;False;False;False;True;;;;;;B2C
bathbody;1103262792874-01;544739;invoiced;USD;49.9;49,9;2021-01-14;2021-01-14;False;False;False;False;False;True;;;;;;B2C
bathbody;1103282976677-01;544749;invoiced;USD;29.09;29,09;2021-01-14;2021-01-14;False;False;False;False;False;True;;;;;;B2C
bathbody;1103282321342-01;544745;invoiced;USD;110.47;110,47;2021-01-14;2021-01-14;False;False;False;False;False;True;;;;;;B2C
bathbody;1103321791794-01;544771;invoiced;USD;128.61;128,61;2021-01-14;2021-01-14;False;False;False;False;False;True;;;;;;B2C
bathbody;1103343289088-01;544779;invoiced;USD;51.41;51,41;2021-01-14;2021-01-14;False;False;False;False;False;True;;;;;;B2C
bathbody;1103340551060-01;544781;invoiced;USD;57.4;57,4;2021-01-14;2021-01-14;False;False;False;False;False;True;;;;;;B2C
bathbody;1103340934896-01;544783;invoiced;USD;59.54;59,54;2021-01-14;2021-01-14;False;False;False;False;False;True;;;;;;B2C
bathbody;1103142589561-01;544711;invoiced;USD;51.81;51,81;2021-01-14;2021-01-14;False;False;False;False;False;True;;;;;;B2C
bathbody;1102622611933-01;544473;invoiced;USD;49.7;49,7;2021-01-11;2021-01-11;False;False;False;False;False;True;;;;;;B2C
bathbody;1103282815949-01;544747;invoiced;USD;31.44;31,44;2021-01-14;2021-01-14;False;False;False;False;False;True;;;;;;B2C
bathbody;1103302866252-01;544761;invoiced;USD;21.12;21,12;2021-01-14;2021-01-14;False;False;False;False;False;True;;;;;;B2C
bathbody;1103332489351-01;544773;invoiced;USD;54.93;54,93;2021-01-14;2021-01-14;False;False;False;False;False;True;;;;;;B2C
bathbody;1104832935853-01;545623;invoiced;USD;17.38;17,38;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
bathbody;1104842110823-01;545625;invoiced;USD;70.19;70,19;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
bathbody;1104832001197-01;545621;invoiced;USD;46.59;46,59;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
bathbody;1104841059649-01;545633;invoiced;USD;13.63;13,63;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
bathbody;1104840086499-01;545631;invoiced;USD;23.26;23,26;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
bathbody;1104850323012-01;545635;invoiced;USD;103.67;103,67;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
bathbody;1104843311180-01;545629;invoiced;USD;44.93;44,93;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
bathbody;1104842256053-01;545627;invoiced;USD;25.83;25,83;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
bathbody;1104990725986-01;545691;invoiced;USD;52.8;52,8;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
bathbody;1105002948346-01;545695;invoiced;USD;37.44;37,44;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
bathbody;1105001821325-01;545693;invoiced;USD;46.7;46,7;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
bathbody;1105000028676-01;545699;invoiced;USD;53.23;53,23;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
bathbody;1105000547152-01;545703;invoiced;USD;63.39;63,39;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
bathbody;1105001010292-01;545709;invoiced;USD;23.9;23,9;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
bathbody;1105013292126-01;545715;invoiced;USD;58.94;58,94;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
bathbody;1105011717638-01;545721;invoiced;USD;43.12;43,12;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
bathbody;1105010908681-01;545719;invoiced;USD;43.6;43,6;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
bathbody;1105030905611-01;545733;invoiced;USD;21.66;21,66;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
bathbody;1104790589220-01;545599;invoiced;USD;43.6;43,6;2021-01-20;2021-01-20;False;False;False;False;False;True;;;;;;B2C
bathbody;1104793476113-01;545597;invoiced;USD;87.24;87,24;2021-01-20;2021-01-20;False;False;False;False;False;True;;;;;;B2C
bathbody;1104801813226-01;545605;invoiced;USD;39.63;39,63;2021-01-20;2021-01-20;False;False;False;False;False;True;;;;;;B2C
bathbody;1104811875705-01;545607;invoiced;USD;32.88;32,88;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
bathbody;1104780180454-01;545583;invoiced;USD;44.45;44,45;2021-01-20;2021-01-20;False;False;False;False;False;True;;;;;;B2C
bathbody;1104791809394-01;545587;invoiced;USD;68.69;68,69;2021-01-20;2021-01-20;False;False;False;False;False;True;;;;;;B2C
bathbody;1104742768988-01;545563;invoiced;USD;44.64;44,64;2021-01-20;2021-01-20;False;False;False;False;False;True;;;;;;B2C
bathbody;1104812450354-01;545609;invoiced;USD;134.37;134,37;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
bathbody;1104941063529-01;545655;invoiced;USD;45.41;45,41;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
bathbody;1104961600831-01;545671;invoiced;USD;24.97;24,97;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
bathbody;1104883075503-01;545641;invoiced;USD;69;69;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
