Account;OrderId;Sequence;Status;Currency;Value;Value STR;CreationDate;ApprovedDate;IsInStore;IsB2B;IsCallCenter;IsCertifiedMarketplace;IsCertifiedSeller;IsB2C;ExternalMarketplaceName;InternalMarketplaceAccount;MarketplaceOrderId;InternalCertifiedSellerAccount;SellerOrderId;Type
bathbodype;1102591495736-01;504072;invoiced;PEN;235.6;235,6;2021-01-11;2021-01-11;False;False;False;False;False;True;;;;;;B2C
bathbodype;1101713494294-01;503492;invoiced;PEN;61;61;2021-01-08;2021-01-08;False;False;False;False;False;True;;;;;;B2C
bathbodype;1101713018024-01;503490;invoiced;PEN;177.4;177,4;2021-01-08;2021-01-08;False;False;False;False;False;True;;;;;;B2C
bathbodype;1102590745458-01;504070;invoiced;PEN;392.6;392,6;2021-01-11;2021-01-11;False;False;False;False;False;True;;;;;;B2C
bathbodype;1102381127867-01;503914;invoiced;PEN;57.2;57,2;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodype;1102321297299-01;503864;invoiced;PEN;170.4;170,4;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodype;1102380380677-01;503912;invoiced;PEN;190.9;190,9;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodype;1102340500047-01;503876;invoiced;PEN;119.8;119,8;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodype;1102352796394-01;503880;invoiced;PEN;126.4;126,4;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodype;1102391190526-01;503926;invoiced;PEN;152;152;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodype;1102353557690-01;503882;invoiced;PEN;258;258;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodype;1102392699025-01;503922;invoiced;PEN;262;262;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodype;1102350298399-01;503884;invoiced;PEN;82.4;82,4;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
bathbodype;1102561445556-01;504024;invoiced;PEN;326.6;326,6;2021-01-11;2021-01-11;False;False;False;False;False;True;;;;;;B2C
bathbodype;1101663129609-01;503446;invoiced;PEN;201.3;201,3;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
bathbodype;1101132522385-01;503140;invoiced;PEN;110.6;110,6;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodype;1101121661686-01;503134;invoiced;PEN;290.6;290,6;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodype;1101830985814-01;503514;invoiced;PEN;175;175;2021-01-08;2021-01-08;False;False;False;False;False;True;;;;;;B2C
