Account;OrderId;Sequence;Status;Currency;Value;Value STR;CreationDate;ApprovedDate;IsInStore;IsB2B;IsCallCenter;IsCertifiedMarketplace;IsCertifiedSeller;IsB2C;ExternalMarketplaceName;InternalMarketplaceAccount;MarketplaceOrderId;InternalCertifiedSellerAccount;SellerOrderId;Type
bathbodyco;1083072373952-01;505323;invoice;COP; 271,500 ;271500;12/12/2020;12/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1080832045576-01;503025;handling;COP; 73,000 ;73000;02/12/2020;02/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1083092601032-01;505353;invoice;COP; 95,000 ;95000;12/12/2020;12/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1081030362553-01;503181;handling;COP; 94,000 ;94000;03/12/2020;03/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1081070232086-01;503271;handling;COP; 94,000 ;94000;03/12/2020;03/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1083430424160-01;505795;handling;COP; 472,000 ;472000;13/12/2020;13/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084623566804-01;506691;handling;COP; 153,000 ;153000;18/12/2020;18/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1081100708294-01;503371;handling;COP; 180,500 ;180500;03/12/2020;03/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1083021310695-01;505241;invoice;COP; 154,000 ;154000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084623559852-01;506693;handling;COP; 174,000 ;174000;18/12/2020;18/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084472385932-01;506629;invoice;COP; 104,800 ;104800;17/12/2020;17/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1082942016974-01;504971;invoice;COP; 103,000 ;103000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084481959140-01;506633;invoice;COP; 151,000 ;151000;17/12/2020;17/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1082932047220-01;504939;invoice;COP; 108,500 ;108500;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1082931316416-01;504963;invoice;COP; 173,000 ;173000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084440543447-01;506619;invoice;COP; 162,400 ;162400;17/12/2020;17/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084460520826-01;506625;invoice;COP; 202,900 ;202900;17/12/2020;17/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1082942991810-01;504977;invoice;COP; 74,000 ;74000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084462736197-01;506623;invoice;COP; 184,800 ;184800;17/12/2020;17/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1082970261398-01;505111;invoice;COP; 162,000 ;162000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084490880418-01;506639;invoice;COP; 178,800 ;178800;18/12/2020;18/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1082962422023-01;505047;invoice;COP; 169,800 ;169800;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1082960148622-01;505061;invoice;COP; 125,000 ;125000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084491784298-01;506643;invoice;COP; 174,800 ;174800;18/12/2020;18/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1082971085621-01;505123;invoice;COP; 66,000 ;66000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084491581160-01;506641;invoice;COP; 170,400 ;170400;18/12/2020;18/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084490543896-01;506637;invoice;COP; 518,600 ;518600;18/12/2020;18/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1082980014075-01;505149;invoice;COP; 360,000 ;360000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1082982836815-01;505143;invoice;COP; 163,000 ;163000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084641631725-01;506777;handling;COP; 449,600 ;449600;18/12/2020;18/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084842718131-01;506994;handling;COP; 299,690 ;299690;19/12/2020;19/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1083013163319-01;505211;invoice;COP; 198,000 ;198000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1083012358309-01;505209;invoice;COP; 154,000 ;154000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084682264908-01;506853;invoice;COP; 165,000 ;165000;18/12/2020;18/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084632473058-01;506703;invoice;COP; 163,000 ;163000;18/12/2020;18/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1083011218189-01;505217;invoice;COP; 188,500 ;188500;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1083010303866-01;505213;invoice;COP; 64,000 ;64000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084671570616-01;506849;invoice;COP; 371,000 ;371000;18/12/2020;18/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084680121478-01;506862;invoice;COP; 153,000 ;153000;18/12/2020;18/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1082990400694-01;505179;invoice;COP; 418,000 ;418000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084671765198-01;506851;invoice;COP; 153,000 ;153000;18/12/2020;18/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1083021085701-01;505239;invoice;COP; 249,000 ;249000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1083021900524-01;505221;invoice;COP; 37,000 ;37000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084680015199-01;506860;invoice;COP; 88,000 ;88000;18/12/2020;18/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084670631841-01;506843;invoice;COP; 94,800 ;94800;18/12/2020;18/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1083003135059-01;505193;invoice;COP; 74,000 ;74000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1082961104399-01;505077;invoice;COP; 181,000 ;181000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084410573266-01;506599;invoice;COP; 309,500 ;309500;17/12/2020;17/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1082961249936-01;505083;invoice;COP; 169,000 ;169000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084441909272-01;506613;invoice;COP; 181,600 ;181600;17/12/2020;17/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1082971880668-01;505093;invoice;COP; 74,000 ;74000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084140552593-01;506473;invoice;COP; 135,700 ;135700;16/12/2020;16/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1082951688172-01;505039;invoice;COP; 509,300 ;509300;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084162342648-01;506481;invoice;COP; 79,000 ;79000;16/12/2020;16/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1082941041682-01;504993;invoice;COP; 66,000 ;66000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084141053094-01;506477;invoice;COP; 181,800 ;181800;16/12/2020;16/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1082930606422-01;504947;invoice;COP; 135,000 ;135000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084171147733-01;506497;invoice;COP; 229,000 ;229000;16/12/2020;16/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1082941401190-01;504995;invoice;COP; 56,000 ;56000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084180820622-01;506501;invoice;COP; 162,000 ;162000;16/12/2020;16/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1082941494486-01;504999;invoice;COP; 137,000 ;137000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084173027624-01;506491;invoice;COP; 236,900 ;236900;16/12/2020;16/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1082940446765-01;504985;invoice;COP; 103,000 ;103000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084641172890-01;506775;handling;COP; 591,000 ;591000;18/12/2020;18/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1082940413149-01;504983;invoice;COP; 66,000 ;66000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084501760763-01;506647;invoice;COP; 186,800 ;186800;18/12/2020;18/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084510403180-01;506653;invoice;COP; 163,400 ;163400;18/12/2020;18/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1082972669800-01;505103;invoice;COP; 159,000 ;159000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1082972024940-01;505099;invoice;COP; 95,000 ;95000;11/12/2020;11/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodyco;1084510478267-01;506655;invoice;COP; 94,800 ;94800;18/12/2020;18/12/2020;False;False;False;False;False;True;;;;;;B2C
