Account;OrderId;Sequence;Status;Currency;Value;Value STR;CreationDate;ApprovedDate;IsInStore;IsB2B;IsCallCenter;IsCertifiedMarketplace;IsCertifiedSeller;IsB2C;ExternalMarketplaceName;InternalMarketplaceAccount;MarketplaceOrderId;InternalCertifiedSellerAccount;SellerOrderId;Type
bathbodygt;1080431661372-01;517217;invoiced;GTQ;349.85;349,85;01/12/2020;01/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1080441386418-01;517569;invoiced;GTQ;185.25;185,25;01/12/2020;01/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1080423319661-01;516631;invoiced;GTQ;274.5;274,5;01/12/2020;01/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1080431062414-01;517155;invoiced;GTQ;283;283;01/12/2020;01/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1080431578459-01;517201;invoiced;GTQ;668.25;668,25;01/12/2020;01/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1080423387966-01;516633;invoiced;GTQ;295.75;295,75;01/12/2020;01/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1080433193302-01;517015;invoiced;GTQ;871.75;871,75;01/12/2020;01/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1080422936473-01;516581;invoiced;GTQ;1310;1310;01/12/2020;01/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1080422256125-01;516495;invoiced;GTQ;652.75;652,75;01/12/2020;01/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1080431527436-01;517195;invoiced;GTQ;231.5;231,5;01/12/2020;01/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1080422155590-01;516483;invoiced;GTQ;219.25;219,25;01/12/2020;01/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1080430798684-01;517127;invoiced;GTQ;354.75;354,75;01/12/2020;01/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1080420248732-01;516689;invoiced;GTQ;219.25;219,25;01/12/2020;01/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1080430722134-01;517123;invoiced;GTQ;295.75;295,75;01/12/2020;01/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1080420129376-01;516677;invoiced;GTQ;334;334;01/12/2020;01/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1080431275077-01;517167;invoiced;GTQ;1857;1857;01/12/2020;01/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081342824526-01;518253;invoiced;GTQ;281;281;04/12/2020;04/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1080421227566-01;516763;invoiced;GTQ;142.75;142,75;01/12/2020;01/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081340252001-01;518255;invoiced;GTQ;429;429;04/12/2020;04/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1080421359633-01;516775;invoiced;GTQ;257;257;01/12/2020;01/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081330776875-01;518245;invoiced;GTQ;299;299;04/12/2020;04/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1080420027091-01;516669;invoiced;GTQ;283;283;01/12/2020;01/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081331656885-01;518251;invoiced;GTQ;451;451;04/12/2020;04/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1080420490605-01;516711;invoiced;GTQ;575.75;575,75;01/12/2020;01/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081042899052-01;518103;invoiced;GTQ;283;283;03/12/2020;03/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081352260086-01;518263;invoiced;GTQ;483;483;04/12/2020;04/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081520059483-01;518281;invoiced;GTQ;629;629;05/12/2020;05/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1080941252788-01;518097;invoiced;GTQ;211;211;03/12/2020;03/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081042605400-01;518101;invoiced;GTQ;387;387;03/12/2020;03/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081573230453-01;518345;invoiced;GTQ;329;329;05/12/2020;05/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081060834304-01;518133;invoiced;GTQ;332;332;03/12/2020;03/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081341244788-01;518261;invoiced;GTQ;204;204;04/12/2020;04/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081411632295-01;518271;invoiced;GTQ;204;204;05/12/2020;05/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081082567847-01;518163;invoiced;GTQ;378;378;03/12/2020;03/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081750319850-01;518437;invoiced;GTQ;502;502;06/12/2020;06/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081532885492-01;518307;invoiced;GTQ;266;266;05/12/2020;05/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081761112783-01;518441;invoiced;GTQ;280;280;06/12/2020;06/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081593238438-01;518369;invoiced;GTQ;528;528;05/12/2020;05/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081862094004-01;518551;invoiced;GTQ;116;116;07/12/2020;07/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081671077271-01;518429;invoiced;GTQ;143;143;06/12/2020;06/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081330602891-01;518243;invoiced;GTQ;211;211;04/12/2020;04/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081630533714-01;518391;invoiced;GTQ;1392;1392;06/12/2020;06/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081761350766-01;518443;invoiced;GTQ;196;196;06/12/2020;06/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081650835902-01;518427;invoiced;GTQ;211;211;06/12/2020;06/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081643103949-01;518397;invoiced;GTQ;644;644;06/12/2020;06/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081310613399-01;518237;invoiced;GTQ;292;292;04/12/2020;04/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081091125840-01;518175;invoiced;GTQ;556;556;03/12/2020;03/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081652526532-01;518411;invoiced;GTQ;116;116;06/12/2020;06/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081640714616-01;518399;invoiced;GTQ;380;380;06/12/2020;06/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081151234249-01;518205;invoiced;GTQ;116;116;04/12/2020;04/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081843282300-01;518527;invoiced;GTQ;452;452;06/12/2020;06/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081142861706-01;518203;invoiced;GTQ;833;833;04/12/2020;04/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081841914307-01;518523;invoiced;GTQ;767;767;06/12/2020;06/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081142324911-01;518199;invoiced;GTQ;460;460;04/12/2020;04/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081270115463-01;518217;invoiced;GTQ;507;507;04/12/2020;04/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081852931014-01;518547;invoiced;GTQ;731;731;07/12/2020;07/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081133253053-01;518197;invoiced;GTQ;204;204;04/12/2020;04/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081841062402-01;518539;invoiced;GTQ;622;622;07/12/2020;07/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081262566994-01;518215;invoiced;GTQ;211;211;04/12/2020;04/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081792008443-01;518451;invoiced;GTQ;387;387;06/12/2020;06/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081831883866-01;518501;invoiced;GTQ;437;437;06/12/2020;06/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081170899669-01;518211;invoiced;GTQ;380;380;04/12/2020;04/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1080432169906-01;516885;invoiced;GTQ;198;198;01/12/2020;01/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081170403672-01;518209;invoiced;GTQ;1086;1086;04/12/2020;04/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081863313539-01;518553;invoiced;GTQ;333;333;07/12/2020;07/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081092515475-01;518171;invoiced;GTQ;204;204;03/12/2020;03/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081620870515-01;518381;invoiced;GTQ;523;523;06/12/2020;06/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081100988140-01;518179;invoiced;GTQ;329;329;03/12/2020;03/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081120222690-01;518191;invoiced;GTQ;454;454;04/12/2020;04/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081622440972-01;518379;invoiced;GTQ;389;389;06/12/2020;06/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1082290639143-01;518727;invoiced;GTQ;546;546;08/12/2020;08/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081122782285-01;518187;invoiced;GTQ;116;116;03/12/2020;03/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1081101499636-01;518181;invoiced;GTQ;204;204;03/12/2020;03/12/2020;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1082293408646-01;518725;invoiced;GTQ;320;320;08/12/2020;08/12/2020;False;False;False;False;False;True;;;;;;B2C
