OrderId;Sequence;Status;Currency;Value;Value STR;CreationDate;ApprovedDate;
1080433031535-01;539940;invoiced;USD;18.53;18,53;01/12/2020;01/12/2020;18.53
1080430390923-01;539974;invoiced;USD;24.78;24,78;01/12/2020;01/12/2020;24.78
1080430830059-01;539988;invoiced;USD;54.86;54,86;01/12/2020;01/12/2020;54.86
1080431076770-01;539996;invoiced;USD;21.11;21,11;01/12/2020;01/12/2020;21.11
1080442099211-01;540040;invoiced;USD;35.53;35,53;01/12/2020;01/12/2020;35.53
1080442267046-01;540046;invoiced;USD;41.27;41,27;01/12/2020;01/12/2020;41.27
1080443008147-01;540086;invoiced;USD;33.06;33,06;01/12/2020;01/12/2020;33.06
1080431676775-01;540024;invoiced;USD;18.53;18,53;01/12/2020;01/12/2020;18.53
1080443426253-01;540104;invoiced;USD;20.32;20,32;01/12/2020;01/12/2020;20.32
1080442623855-01;540066;invoiced;USD;29.05;29,05;01/12/2020;01/12/2020;29.05
1080433059157-01;539942;invoiced;USD;24.78;24,78;01/12/2020;01/12/2020;24.78
1080421667385-01;539878;invoiced;USD;33.06;33,06;01/12/2020;01/12/2020;33.06
1080443118183-01;540092;invoiced;USD;67.59;67,59;01/12/2020;01/12/2020;67.59
1080431337087-01;540006;handling;USD;33.06;33,06;01/12/2020;01/12/2020;33.06
1080450149071-01;540244;handling;USD;28.56;28,56;01/12/2020;01/12/2020;28.56
1080452075598-01;540188;handling;USD;58.92;58,92;01/12/2020;01/12/2020;58.92
1080422604169-01;539748;handling;USD;38.53;38,53;01/12/2020;01/12/2020;38.53
1080423359694-01;539796;handling;USD;30.37;30,37;01/12/2020;01/12/2020;30.37
1080431978398-01;539902;handling;USD;55.31;55,31;01/12/2020;01/12/2020;55.31
1080401755857-01;539550;handling;USD;125.77;125,77;01/12/2020;01/12/2020;125.77
1080422574498-01;539746;invoiced;USD;22.02;22,02;01/12/2020;01/12/2020;22.02
1080432067971-01;539906;invoiced;USD;58.11;58,11;01/12/2020;01/12/2020;58.11
1080411253917-01;539680;invoiced;USD;70.3;70,3;01/12/2020;01/12/2020;70.3
1080400190428-01;539488;invoiced;USD;276.79;276,79;01/12/2020;01/12/2020;276.79
1080413031123-01;539600;invoiced;USD;41.26;41,26;01/12/2020;01/12/2020;41.26
1080422324774-01;539732;invoiced;USD;29.45;29,45;01/12/2020;01/12/2020;29.45
1080420734700-01;539834;invoiced;USD;43.58;43,58;01/12/2020;01/12/2020;43.58
1080412571399-01;539580;invoiced;USD;63.87;63,87;01/12/2020;01/12/2020;63.87
1080422779571-01;539764;invoiced;USD;25.8;25,8;01/12/2020;01/12/2020;25.8
1080420068985-01;539808;invoiced;USD;25.8;25,8;01/12/2020;01/12/2020;25.8
1080422855995-01;539766;invoiced;USD;42.64;42,64;01/12/2020;01/12/2020;42.64
1080420094147-01;539810;invoiced;USD;54.86;54,86;01/12/2020;01/12/2020;54.86
1080453410495-01;540236;invoiced;USD;65.79;65,79;01/12/2020;01/12/2020;65.79
