Account;OrderId;Sequence;Status;Currency;Value;Value STR;CreationDate;ApprovedDate;IsInStore;IsB2B;IsCallCenter;IsCertifiedMarketplace;IsCertifiedSeller;IsB2C;ExternalMarketplaceName;InternalMarketplaceAccount;MarketplaceOrderId;InternalCertifiedSellerAccount;SellerOrderId;Type
bathbodygt;1073972333391-01;505795;invoiced;GTQ;572;572;2020-11-04;2020-11-04;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1076003526437-01;506507;invoiced;GTQ;205;205;2020-11-12;2020-11-12;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1074091701224-01;505807;invoiced;GTQ;224;224;2020-11-04;2020-11-04;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1074110045504-01;505817;invoiced;GTQ;224;224;2020-11-04;2020-11-04;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1076000210724-01;506515;invoiced;GTQ;352;352;2020-11-12;2020-11-12;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1074111635956-01;505823;invoiced;GTQ;224;224;2020-11-04;2020-11-04;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1076000658114-01;506523;invoiced;GTQ;983;983;2020-11-12;2020-11-12;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1076002300636-01;506487;invoiced;GTQ;542;542;2020-11-12;2020-11-12;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1074120493421-01;505835;invoiced;GTQ;452;452;2020-11-04;2020-11-04;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1074132753884-01;505839;invoiced;GTQ;398;398;2020-11-04;2020-11-04;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1076000798211-01;506531;invoiced;GTQ;360;360;2020-11-12;2020-11-12;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1074130175612-01;505843;invoiced;GTQ;1154;1154;2020-11-04;2020-11-04;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1076000754304-01;506529;invoiced;GTQ;532;532;2020-11-12;2020-11-12;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1074162302628-01;505865;invoiced;GTQ;224;224;2020-11-04;2020-11-04;False;False;False;False;False;True;;;;;;B2C
