Account;OrderId;Sequence;Status;Currency;Value;Value STR;CreationDate;ApprovedDate;IsInStore;IsB2B;IsCallCenter;IsCertifiedMarketplace;IsCertifiedSeller;IsB2C;ExternalMarketplaceName;InternalMarketplaceAccount;MarketplaceOrderId;InternalCertifiedSellerAccount;SellerOrderId;Type
victoriassecretbeautypa;1105022297148-01;504544;invoiced;USD;52.36;52,36;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1100901442480-01;503594;invoiced;USD;21.6;21,6;2021-01-04;2021-01-04;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105010881170-01;504538;invoiced;USD;18.96;18,96;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1100900166545-01;503592;invoiced;USD;12.55;12,55;2021-01-04;2021-01-04;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105011066218-01;504542;invoiced;USD;44.88;44,88;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1100982603968-01;503614;invoiced;USD;102.68;102,68;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105022753900-01;504548;invoiced;USD;33.92;33,92;2021-01-21;2021-01-21;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1100980465208-01;503616;invoiced;USD;29.65;29,65;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1102352267381-01;504054;invoiced;USD;46.82;46,82;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1100951660617-01;503606;invoiced;USD;35.99;35,99;2021-01-04;2021-01-04;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101122265101-01;503636;invoiced;USD;54.98;54,98;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1102793085679-01;504196;invoiced;USD;65.06;65,06;2021-01-12;2021-01-12;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101123487197-01;503640;invoiced;USD;43.12;43,12;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1102793239668-01;504198;invoiced;USD;16.84;16,84;2021-01-12;2021-01-12;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101131944081-01;503642;invoiced;USD;29.65;29,65;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1102611329957-01;504190;invoiced;USD;36.1;36,1;2021-01-11;2021-01-11;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1102921393983-01;504220;invoiced;USD;36.1;36,1;2021-01-13;2021-01-13;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101713577649-01;503794;invoiced;USD;21.1;21,1;2021-01-08;2021-01-08;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1103113434291-01;504228;invoiced;USD;93.09;93,09;2021-01-13;2021-01-13;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101652841546-01;503768;invoiced;USD;29.65;29,65;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101660472885-01;503776;invoiced;USD;87.95;87,95;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1103121294876-01;504232;invoiced;USD;36.1;36,1;2021-01-14;2021-01-14;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101720287153-01;503798;invoiced;USD;103.17;103,17;2021-01-08;2021-01-08;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1103342128689-01;504240;invoiced;USD;64.2;64,2;2021-01-14;2021-01-14;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101731874618-01;503802;invoiced;USD;21.1;21,1;2021-01-08;2021-01-08;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1103332801151-01;504238;invoiced;USD;16.82;16,82;2021-01-14;2021-01-14;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101833075168-01;503806;invoiced;USD;29.65;29,65;2021-01-08;2021-01-08;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1103863139108-01;504328;invoiced;USD;54.57;54,57;2021-01-17;2021-01-17;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1103723228582-01;504292;invoiced;USD;50.29;50,29;2021-01-16;2021-01-16;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101782436580-01;503804;invoiced;USD;60.7;60,7;2021-01-08;2021-01-08;False;False;False;False;False;True;;;;;;B2C
